nominalDia,nominalPipeSize,outerDia,schedule,thickness,area
250,10,273.1,std,9.27,78.84652331
300,12,323.9,std,9.53,113.0696712
350,14,355.6,std,9.53,137.8083727
400,16,406.4,std,9.53,182.5521364
450,18,457,std,9.53,233.3627057
500,20,508,std,9.53,290.879664
550,22,559,std,9.53,354.7261684
600,24,610,std,9.53,424.902219
650,26,660,std,9.53,499.8468684
700,28,711,std,9.53,582.5579026
750,30,762,std,9.53,671.5984829
6,0.125,10.3,xs,2.41,0.036539562
8,0.5,13.7,xs,3.02,0.071393679
10,0.38,17.1,xs,3.2,0.139305986
15,0.5,21.3,xs,3.73,0.233063575
20,0.75,26.7,xs,3.91,0.433716759
25,1,33.4,xs,4.55,0.718480144
32,1.25,42.2,xs,4.85,1.285194758
40,1.5,48.3,xs,5.08,1.769960608
50,2,60.3,xs,5.54,2.947714666
65,2.5,73,xs,7.01,4.232644172
80,3,88.9,xs,7.62,6.60185
90,3.5,101.6,xs,8.08,8.882284977
100,4,114.3,xs,8.56,11.49095206
125,5,141.3,xs,9.53,18.18146633
150,6,168.3,xs,10.97,26.06435758
200,8,219.1,xs,12.7,45.65217411
250,10,273.1,xs,12.7,74.65419842
300,12,323.9,xs,12.7,108.4153795
350,14,355.6,xs,12.7,132.665
400,16,406.4,xs,12.7,176.625
450,18,457,xs,12.7,226.6548912
500,20,508,xs,12.7,283.385
550,22,559,xs,12.7,346.444655
600,24,610,xs,12.7,415.8338561
650,26,660,xs,12.7,490.0070844
700,28,711,xs,12.7,571.9312691
750,30,762,xs,12.7,660.185
15,0.5,21.3,xxs,7.47,0.049217149
20,0.75,26.7,xxs,7.82,0.148837538
25,1,33.4,xxs,9.09,0.281858754
32,1.25,42.2,xxs,9.7,0.632516585
40,1.5,48.3,xxs,10.15,0.953933908
50,2,60.3,xxs,11.07,1.771817372
65,2.5,73,xxs,14.02,2.459545316
80,3,88.9,xxs,15.24,4.15265
100,4,114.3,xxs,17.12,7.798900778
125,5,141.3,xxs,19.05,12.95870544
150,6,168.3,xxs,21.95,18.82968194
200,8,219.1,xxs,22.23,37.10989016
250,10,273.1,xxs,25.4,60.12860786
300,12,323.9,xxs,25.4,90.74978897
