no,style,series,trimType_,flowCharacter_,flowDirection_,balancing_,rating_c,valveSize,seatBore,travel,coeff,one,two,three,four,five,six,seven,eight,nine,ten
3330,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 1500,3,1.875,2.5,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3331,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 1500,3,1.875,2.5,Xt,0,0,0,0,0,0,0,0,0,0
3332,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 1500,3,1.875,2.5,Fd,0,0,0,0,0,0,0,0,0,0
3333,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 1500,4,2.875,3,Cv,2.8,5.5,8.3,11,13.9,16.7,19.4,22.2,25,27.8
3334,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 1500,4,2.875,3,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3335,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 1500,4,2.875,3,Xt,0,0,0,0,0,0,0,0,0,0
3336,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 1500,4,2.875,3,Fd,0,0,0,0,0,0,0,0,0,0
3337,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 1500,6,4.66,4,Cv,6.1,13.2,19.8,26.1,34.1,41.5,48.2,54.5,60.9,65
3338,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 1500,6,4.66,4,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3339,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 1500,6,4.66,4,Xt,0,0,0,0,0,0,0,0,0,0
3340,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 1500,6,4.66,4,Fd,0,0,0,0,0,0,0,0,0,0
3341,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.5,2,Cv,1.46,4.98,9.24,13.2,17,20.7,24.7,28.5,31.9,34.4
3342,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.5,2,FL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
3343,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.5,2,Xt,1,1,1,1,1,1,1,1,1,1
3344,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.5,2,Fd,1,1,1,1,1,1,1,1,1,1
3345,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.6,2,Cv,2.35,6.4,10.4,14.3,18.3,22.3,26.2,30.1,33.9,37.7
3346,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.6,2,FL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
3347,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.6,2,Xt,1,1,1,1,1,1,1,1,1,1
3348,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.6,2,Fd,1,1,1,1,1,1,1,1,1,1
3349,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.4375,3,Cv,2.61,9.01,15.6,21.8,28.3,34.8,40.4,46.4,52.2,58.1
3350,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.4375,3,FL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
3351,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.4375,3,Xt,1,1,1,1,1,1,1,1,1,1
3352,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,3.4375,3,Fd,1,1,1,1,1,1,1,1,1,1
3353,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.25,4,Cv,7.5,20.7,33.8,47,60.1,73.3,87,100,112,123
3354,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.25,4,FL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
3355,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.25,4,Xt,1,1,1,1,1,1,1,1,1,1
3356,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.25,4,Fd,1,1,1,1,1,1,1,1,1,1
3357,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.375,3,Cv,7.12,16.1,25,33.8,42.7,51.5,60.2,68.9,77.5,86.1
3358,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.375,3,FL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
3359,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.375,3,Xt,1,1,1,1,1,1,1,1,1,1
3360,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,5.375,3,Fd,1,1,1,1,1,1,1,1,1,1
3361,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,Cv,0.272,1.1,1.98,2.82,3.63,4.46,5.3,6.07,6.61,6.73
3362,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3363,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,Xt,0,0,0,0,0,0,0,0,0,0
3364,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,Fd,0,0,0,0,0,0,0,0,0,0
3365,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.875,2.5,Cv,0.747,2.02,3.92,6.15,8.01,9.5,11,12.8,14.9,16.5
3366,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.875,2.5,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3367,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.875,2.5,Xt,0,0,0,0,0,0,0,0,0,0
3368,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.875,2.5,Fd,0,0,0,0,0,0,0,0,0,0
3369,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.875,3,Cv,2.8,5.5,8.3,11,13.9,16.7,19.4,22.2,25,27.8
3370,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.875,3,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3371,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.875,3,Xt,0,0,0,0,0,0,0,0,0,0
3372,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.875,3,Fd,0,0,0,0,0,0,0,0,0,0
3373,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.66,4,Cv,6.1,13.2,19.8,26.1,34.1,41.5,48.2,54.5,60.9,65
3374,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.66,4,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3375,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.66,4,Xt,0,0,0,0,0,0,0,0,0,0
3376,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.66,4,Fd,0,0,0,0,0,0,0,0,0,0
3377,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,Cv,0.272,1.1,1.98,2.82,3.63,4.46,5.3,6.07,6.61,6.73
3378,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3379,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,Xt,0,0,0,0,0,0,0,0,0,0
3380,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,2,1,2,Fd,0,0,0,0,0,0,0,0,0,0
3381,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.375,2.5,Cv,1.71,2.8,3.9,4.9,6.2,7.9,9.2,10.3,11.3,12.4
3382,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.375,2.5,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3383,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.375,2.5,Xt,0,0,0,0,0,0,0,0,0,0
3384,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,3,1.375,2.5,Fd,0,0,0,0,0,0,0,0,0,0
3385,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.25,2.75,Cv,2.78,4.6,6.9,9.9,11.6,13.4,16.3,18.7,20.4,22.1
3386,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.25,2.75,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3387,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.25,2.75,Xt,0,0,0,0,0,0,0,0,0,0
3388,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,4,2.25,2.75,Fd,0,0,0,0,0,0,0,0,0,0
3389,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,Cv,5.71,11.8,18.2,23.7,27.6,33.9,40.1,44.7,49.4,55.5
3390,Globe Straight,11,Anti-Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,FL,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3391,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,Xt,0,50.7,0,0,0,0,0,0,0,0
